,Location,Distance from Job Hub (km),Compound Name,Year Unit Ready,House Area (sqm),Number of Bedrooms,Number of Bathrooms,Swimming Pool,Gym,Modern Kitchen,Energy Efficient,Garage,Proximity to Schools,Public Transportation,Price
649,Ain Shams,11,,2029,146,2,1,0,0,0,0,0,0,0,816513
650,New Capitol,3,Compound_10,2026,170,3,3,0,0,1,1,0,0,1,5415757
651,Hadayek Al Obba,18,,2029,66,1,1,0,0,0,0,0,0,0,803204
652,Zahraa Al Maadi,7,,2023,116,3,1,0,0,0,0,0,0,0,2240974
653,New Capitol,1,Compound_15,2029,396,5,3,0,0,1,0,0,1,0,8727888
654,Hadayek Al Ahram,7,,2024,252,4,1,0,0,0,0,0,0,0,4343379
655,Sheikh Zayed,2,Compound_20,2022,265,5,2,0,1,0,1,1,0,0,14809910
656,Ain Shams,17,,2025,137,1,1,0,0,0,0,0,0,0,1278825
657,Nasr City,8,,2028,265,2,1,0,0,0,0,0,0,0,3400800
658,Hadayek Al Obba,17,,2028,174,2,1,0,0,0,0,0,0,0,900075
659,5th Settlement,3,Compound_99,2028,376,4,3,0,0,0,1,1,0,0,12488264
660,Hadayek Al Obba,16,,2025,152,3,1,0,0,0,0,0,0,0,1405815
661,Hadayek Al Ahram,8,,2025,284,2,1,0,0,0,0,0,0,0,1420137
662,Sheikh Zayed,1,Compound_93,2022,175,3,4,0,1,0,1,0,0,0,6957447
663,New Capitol,2,Compound_8,2028,143,4,2,1,0,1,0,1,0,0,6167915
664,Ain Shams,13,,2024,145,3,1,0,0,0,0,0,0,0,1140412
665,Nasr City,8,,2029,291,3,1,0,0,0,0,0,0,0,2937483
666,5th Settlement,5,Compound_83,2026,272,5,3,1,1,0,0,1,1,0,8817719
667,Nasr City,8,,2027,132,4,1,0,0,0,0,0,0,0,1281052
668,Hadayek Al Ahram,10,,2027,177,3,1,0,0,0,0,0,0,0,2448290
669,Sheikh Zayed,2,Compound_89,2022,381,5,4,0,1,1,0,0,0,1,6745877
670,Zahraa Al Maadi,8,,2027,249,4,2,0,0,0,0,0,0,0,3712924
671,Zahraa Al Maadi,7,,2022,231,3,1,0,0,0,0,0,0,0,2202006
672,Nasr City,6,,2023,228,3,2,0,0,0,0,0,0,0,3034254
673,Hadayek Al Ahram,8,,2024,218,2,2,0,0,0,0,0,0,0,2709757
674,Hadayek Al Ahram,6,,2026,141,4,1,0,0,0,0,0,0,0,3618474
675,5th Settlement,5,Compound_96,2027,103,3,4,0,0,0,1,0,1,0,10469720
676,Nasr City,6,,2022,272,2,1,0,0,0,0,0,0,0,2302499
677,Hadayek Al Ahram,9,,2026,265,3,2,0,0,0,0,0,0,0,1411551
678,Hadayek Al Ahram,6,,2029,242,4,2,0,0,0,0,0,0,0,3372787
679,New Capitol,1,Compound_79,2028,212,6,4,0,1,0,1,1,0,1,12236051
680,New Capitol,1,Compound_66,2028,201,3,2,1,0,0,0,1,0,0,11747084
681,Ain Shams,17,,2029,75,2,1,0,0,0,0,0,0,0,822607
682,Ain Shams,14,,2024,191,1,1,0,0,0,0,0,0,0,1367695
683,Ain Shams,17,,2028,91,3,1,0,0,0,0,0,0,0,1141179
684,New Capitol,1,Compound_5,2026,137,4,2,1,0,1,0,1,0,0,9048370
685,Nasr City,9,,2022,208,4,2,0,0,0,0,0,0,0,1682480
686,New Capitol,5,Compound_23,2027,203,3,4,0,0,0,0,1,1,1,10287651
687,Nasr City,8,,2022,240,2,1,0,0,0,0,0,0,0,4025183
688,5th Settlement,3,Compound_7,2027,190,3,3,0,0,0,0,0,0,0,11001059
689,Sheikh Zayed,2,Compound_39,2029,272,5,3,0,0,1,0,1,0,1,9519067
690,New Capitol,3,Compound_4,2027,345,5,4,0,0,0,0,0,0,0,12625090
691,New Capitol,2,Compound_71,2026,329,5,2,0,0,0,0,0,0,1,9028116
692,Zahraa Al Maadi,6,,2022,146,3,1,0,0,0,0,0,0,0,3763452
693,5th Settlement,5,Compound_28,2022,171,3,4,1,0,1,0,0,0,0,5671066
694,5th Settlement,2,Compound_88,2027,166,4,3,0,0,1,0,0,0,1,12747247
695,5th Settlement,2,Compound_24,2026,103,6,2,0,0,1,0,1,0,1,12788178
696,Ain Shams,15,,2025,166,2,1,0,0,0,0,0,0,0,1211798
697,Zahraa Al Maadi,9,,2028,153,3,1,0,0,0,0,0,0,0,2532948
698,Sheikh Zayed,4,Compound_83,2027,112,3,3,0,0,0,0,0,0,0,6902591
699,Hadayek Al Obba,13,,2024,62,1,1,0,0,0,0,0,0,0,989582
700,5th Settlement,4,Compound_63,2025,161,5,2,0,0,0,0,1,0,0,9930371
701,Sheikh Zayed,2,Compound_49,2022,192,6,3,0,0,0,0,1,1,1,9635899
702,Sheikh Zayed,1,Compound_65,2027,255,6,3,0,0,0,1,0,1,0,12663549
703,Nasr City,10,,2025,193,4,1,0,0,0,0,0,0,0,1728583
704,Nasr City,9,,2029,280,2,1,0,0,0,0,0,0,0,1290539
705,Zahraa Al Maadi,9,,2026,143,4,2,0,0,0,0,0,0,0,3532247
706,Zahraa Al Maadi,7,,2027,247,2,2,0,0,0,0,0,0,0,3685332
707,Nasr City,9,,2028,114,2,1,0,0,0,0,0,0,0,1506592
708,5th Settlement,2,Compound_51,2029,331,4,3,1,1,0,1,0,0,1,11143407
709,Ain Shams,15,,2025,183,2,1,0,0,0,0,0,0,0,1355015
710,Ain Shams,19,,2027,95,2,1,0,0,0,0,0,0,0,1199175
711,Sheikh Zayed,1,Compound_7,2028,160,4,4,1,0,0,1,0,0,0,5209841
712,Nasr City,8,,2023,121,2,2,0,0,0,0,0,0,0,1517192
713,Hadayek Al Ahram,7,,2022,156,3,1,0,0,0,0,0,0,0,4254753
714,Hadayek Al Obba,14,,2022,59,3,1,0,0,0,0,0,0,0,1199811
715,Sheikh Zayed,2,Compound_74,2024,348,5,2,0,0,0,1,1,0,0,14017080
716,New Capitol,3,Compound_81,2026,240,6,3,0,0,0,0,1,0,0,11310308
717,Zahraa Al Maadi,7,,2022,251,4,1,0,0,0,0,0,0,0,3589932
718,Ain Shams,20,,2023,106,2,1,0,0,0,0,0,0,0,1142075
719,Nasr City,7,,2023,244,2,1,0,0,0,0,0,0,0,2433692
720,Sheikh Zayed,4,Compound_86,2027,155,3,2,0,0,1,0,0,0,0,8403967
721,Ain Shams,14,,2022,67,3,1,0,0,0,0,0,0,0,1431560
722,Ain Shams,13,,2028,55,3,1,0,0,0,0,0,0,0,966076
723,Nasr City,6,,2024,144,2,1,0,0,0,0,0,0,0,2070454
724,Ain Shams,12,,2027,172,1,1,0,0,0,0,0,0,0,999413
725,Ain Shams,14,,2025,142,1,1,0,0,0,0,0,0,0,1084562
726,Hadayek Al Obba,11,,2024,71,2,1,0,0,0,0,0,0,0,1270999
727,Nasr City,9,,2028,109,3,1,0,0,0,0,0,0,0,2120075
728,Sheikh Zayed,2,Compound_39,2024,343,5,2,0,1,0,0,1,0,0,9642512
729,Sheikh Zayed,3,Compound_95,2027,259,5,2,0,0,0,0,1,0,0,5972496
730,New Capitol,3,Compound_79,2027,123,4,4,0,0,0,0,0,0,0,11044924
731,Sheikh Zayed,1,Compound_47,2027,118,4,4,0,0,1,0,1,0,1,6660486
732,Hadayek Al Ahram,6,,2023,99,3,2,0,0,0,0,0,0,0,2082418
733,New Capitol,3,Compound_28,2025,206,3,4,1,0,0,1,1,1,0,11548826
734,5th Settlement,2,Compound_17,2028,400,4,4,0,1,1,0,0,1,0,8098020
735,Nasr City,8,,2023,158,2,1,0,0,0,0,0,0,0,4114595
736,Sheikh Zayed,1,Compound_67,2029,166,5,3,1,0,0,0,0,0,0,6720426
737,Hadayek Al Obba,11,,2029,133,2,1,0,0,0,0,0,0,0,886101
738,Ain Shams,15,,2026,177,2,1,0,0,0,0,0,0,0,1096572
739,New Capitol,2,Compound_59,2025,348,5,3,1,0,0,1,0,0,0,7440766
740,5th Settlement,3,Compound_96,2028,255,3,4,0,0,1,1,0,0,1,4515022
741,Hadayek Al Obba,13,,2029,51,3,1,0,0,0,0,0,0,0,1007767
742,5th Settlement,5,Compound_94,2025,384,3,3,0,0,0,0,0,1,1,7510054
743,Sheikh Zayed,4,Compound_33,2026,373,3,4,1,0,0,1,1,0,0,5838169
744,Zahraa Al Maadi,6,,2023,167,3,2,0,0,0,0,0,0,0,3195165
745,Ain Shams,15,,2025,172,2,1,0,0,0,0,0,0,0,1068505
746,Nasr City,10,,2028,277,2,2,0,0,0,0,0,0,0,2158224
747,Nasr City,7,,2025,144,2,2,0,0,0,0,0,0,0,2274320
748,Hadayek Al Ahram,8,,2028,238,4,1,0,0,0,0,0,0,0,2392035
749,Ain Shams,13,,2025,62,3,1,0,0,0,0,0,0,0,1159553
750,Hadayek Al Ahram,6,,2024,210,3,1,0,0,0,0,0,0,0,1740857
751,5th Settlement,1,Compound_2,2025,285,3,3,0,0,1,0,0,1,0,12756303
752,Nasr City,8,,2022,281,4,2,0,0,0,0,0,0,0,3832051
753,Zahraa Al Maadi,6,,2025,83,3,2,0,0,0,0,0,0,0,1581775
754,New Capitol,5,Compound_82,2026,323,4,4,1,0,0,1,0,0,0,11067729
755,Hadayek Al Obba,19,,2026,133,1,1,0,0,0,0,0,0,0,950308
756,5th Settlement,4,Compound_66,2022,222,6,2,0,0,0,0,1,0,0,9597373
757,Zahraa Al Maadi,10,,2026,204,2,2,0,0,0,0,0,0,0,3462351
758,Ain Shams,18,,2029,122,3,1,0,0,0,0,0,0,0,844818
759,New Capitol,2,Compound_5,2028,245,6,3,0,1,0,0,0,1,1,12078428
760,Nasr City,9,,2022,181,4,2,0,0,0,0,0,0,0,1989524
761,Ain Shams,17,,2029,110,1,1,0,0,0,0,0,0,0,1001031
762,Hadayek Al Obba,15,,2026,149,2,1,0,0,0,0,0,0,0,1137013
763,Hadayek Al Ahram,10,,2029,232,3,1,0,0,0,0,0,0,0,1979488
764,5th Settlement,3,Compound_89,2026,195,5,3,0,0,1,0,0,1,1,13137258
765,Sheikh Zayed,5,Compound_20,2026,397,4,3,0,0,1,1,0,0,0,9212714
766,5th Settlement,3,Compound_21,2023,395,4,3,1,1,0,0,0,0,1,9766883
767,5th Settlement,4,Compound_73,2023,339,5,3,0,0,0,0,1,0,0,10247161
768,Zahraa Al Maadi,6,,2027,224,2,1,0,0,0,0,0,0,0,3184967
769,5th Settlement,5,Compound_60,2026,185,5,4,1,0,0,0,1,0,1,8479537
770,Hadayek Al Obba,17,,2024,178,3,1,0,0,0,0,0,0,0,1388648
771,Hadayek Al Ahram,8,,2025,256,4,1,0,0,0,0,0,0,0,1816266
772,Ain Shams,12,,2027,150,3,1,0,0,0,0,0,0,0,1030883
773,Ain Shams,12,,2028,96,3,1,0,0,0,0,0,0,0,1121117
774,New Capitol,4,Compound_4,2025,182,4,2,0,0,0,0,1,0,0,8479054
775,Zahraa Al Maadi,7,,2029,175,3,2,0,0,0,0,0,0,0,2407104
776,Sheikh Zayed,2,Compound_70,2023,346,4,4,1,0,0,1,0,1,0,13508927
777,Hadayek Al Obba,14,,2028,67,2,1,0,0,0,0,0,0,0,1089530
778,Nasr City,7,,2024,184,2,1,0,0,0,0,0,0,0,3178131
779,Zahraa Al Maadi,10,,2022,182,4,1,0,0,0,0,0,0,0,2015986
780,Sheikh Zayed,3,Compound_76,2025,391,4,3,0,0,1,1,1,0,1,6249541
781,New Capitol,2,Compound_22,2028,340,6,2,0,0,0,0,0,0,0,5194629
782,Zahraa Al Maadi,8,,2025,286,4,2,0,0,0,0,0,0,0,3891016
783,New Capitol,3,Compound_9,2028,200,5,4,0,1,0,0,0,0,1,9640197
784,Hadayek Al Obba,15,,2026,78,2,1,0,0,0,0,0,0,0,1071903
785,Zahraa Al Maadi,10,,2023,239,3,1,0,0,0,0,0,0,0,3965846
786,Zahraa Al Maadi,8,,2023,299,4,1,0,0,0,0,0,0,0,4004960
787,Hadayek Al Ahram,8,,2024,141,4,2,0,0,0,0,0,0,0,3563790
788,Nasr City,10,,2028,109,4,1,0,0,0,0,0,0,0,2601414
789,Hadayek Al Ahram,10,,2028,109,3,2,0,0,0,0,0,0,0,2946292
790,Sheikh Zayed,3,Compound_26,2025,333,5,4,0,0,0,0,1,0,0,13431080
791,Hadayek Al Obba,19,,2022,119,3,1,0,0,0,0,0,0,0,1273847
792,Nasr City,9,,2029,99,2,2,0,0,0,0,0,0,0,1420602
793,Hadayek Al Ahram,7,,2023,217,4,1,0,0,0,0,0,0,0,3766984
794,Hadayek Al Obba,20,,2027,140,3,1,0,0,0,0,0,0,0,1040163
795,New Capitol,2,Compound_40,2025,113,5,2,0,1,1,0,0,1,0,10351375
796,Hadayek Al Obba,16,,2023,154,2,1,0,0,0,0,0,0,0,1214229
797,New Capitol,5,Compound_89,2026,111,6,4,0,0,0,1,0,0,0,13258974
798,Nasr City,7,,2023,218,2,1,0,0,0,0,0,0,0,4126305
799,Hadayek Al Ahram,8,,2027,137,3,2,0,0,0,0,0,0,0,3387425
800,Hadayek Al Ahram,10,,2026,151,2,2,0,0,0,0,0,0,0,1469909
801,Hadayek Al Ahram,6,,2025,85,4,1,0,0,0,0,0,0,0,3381843
802,Nasr City,7,,2022,152,3,1,0,0,0,0,0,0,0,3003859
803,New Capitol,4,Compound_66,2028,300,6,2,1,0,0,0,0,1,0,11612007
804,Nasr City,7,,2024,292,2,2,0,0,0,0,0,0,0,2531626
805,5th Settlement,3,Compound_84,2024,224,6,4,1,1,0,1,0,0,0,6215719
806,Hadayek Al Ahram,9,,2022,117,4,2,0,0,0,0,0,0,0,3554415
807,Nasr City,7,,2028,166,3,2,0,0,0,0,0,0,0,3167212
808,Ain Shams,15,,2026,169,2,1,0,0,0,0,0,0,0,1211392
809,5th Settlement,5,Compound_47,2022,325,4,4,1,1,1,0,0,1,0,12306371
810,Nasr City,7,,2025,233,2,1,0,0,0,0,0,0,0,1474400
811,New Capitol,1,Compound_16,2029,104,3,3,0,0,0,0,0,0,0,10169674
812,5th Settlement,4,Compound_72,2027,139,6,4,0,0,0,0,0,0,0,6688515
813,Hadayek Al Obba,15,,2024,153,1,1,0,0,0,0,0,0,0,1343745
814,New Capitol,2,Compound_72,2025,112,5,3,0,0,0,0,0,0,1,6271950
815,Hadayek Al Ahram,10,,2027,81,2,2,0,0,0,0,0,0,0,3243511
816,New Capitol,2,Compound_4,2027,174,3,3,1,1,1,0,1,0,0,4782500
817,Hadayek Al Obba,19,,2023,163,1,1,0,0,0,0,0,0,0,1272542
818,Ain Shams,19,,2025,174,3,1,0,0,0,0,0,0,0,1250388
819,Zahraa Al Maadi,7,,2029,294,3,1,0,0,0,0,0,0,0,3336198
820,Ain Shams,17,,2025,113,2,1,0,0,0,0,0,0,0,1076291
821,5th Settlement,5,Compound_98,2029,125,5,2,0,1,1,0,0,1,0,4812030
822,Zahraa Al Maadi,8,,2025,189,2,2,0,0,0,0,0,0,0,3114069
823,New Capitol,3,Compound_51,2025,228,6,2,0,1,1,0,0,0,0,11607378
824,Hadayek Al Obba,14,,2028,111,2,1,0,0,0,0,0,0,0,1082515
825,Ain Shams,12,,2026,101,1,1,0,0,0,0,0,0,0,989295
826,Ain Shams,11,,2023,71,1,1,0,0,0,0,0,0,0,1317754
827,5th Settlement,4,Compound_42,2029,335,4,3,0,0,1,1,0,0,1,9045106
828,Sheikh Zayed,2,Compound_91,2026,302,4,3,0,0,0,1,0,0,0,12870593
829,Sheikh Zayed,5,Compound_42,2022,232,4,2,0,0,0,1,0,0,0,9868025
830,5th Settlement,2,Compound_14,2024,105,5,3,1,0,0,0,1,0,1,8593318
831,Ain Shams,20,,2029,135,2,1,0,0,0,0,0,0,0,1035260
832,Zahraa Al Maadi,10,,2025,139,4,1,0,0,0,0,0,0,0,3041525
833,Sheikh Zayed,5,Compound_56,2023,121,6,2,0,0,0,0,0,0,0,13381709
834,Ain Shams,14,,2029,192,3,1,0,0,0,0,0,0,0,880692
835,Zahraa Al Maadi,9,,2022,125,4,1,0,0,0,0,0,0,0,1743826
836,Hadayek Al Ahram,8,,2022,251,2,1,0,0,0,0,0,0,0,3988950
837,New Capitol,1,Compound_28,2029,319,3,2,1,1,1,0,0,0,0,7361593
838,New Capitol,1,Compound_92,2029,219,6,2,1,1,1,0,1,0,0,10755556
839,Nasr City,10,,2028,122,3,1,0,0,0,0,0,0,0,1309980
840,Hadayek Al Obba,20,,2025,79,3,1,0,0,0,0,0,0,0,1280913
841,Nasr City,10,,2024,183,2,2,0,0,0,0,0,0,0,1740053
842,Nasr City,8,,2029,180,4,1,0,0,0,0,0,0,0,1192127
843,Ain Shams,17,,2029,143,2,1,0,0,0,0,0,0,0,992975
844,Zahraa Al Maadi,7,,2024,147,4,1,0,0,0,0,0,0,0,1930392
845,Zahraa Al Maadi,8,,2024,213,3,2,0,0,0,0,0,0,0,2526754
846,Nasr City,10,,2025,89,3,2,0,0,0,0,0,0,0,3114314
847,New Capitol,4,Compound_74,2027,111,6,4,0,0,0,0,0,0,0,6181266
848,5th Settlement,2,Compound_59,2028,243,4,4,0,0,0,0,0,0,0,4606128
849,Ain Shams,11,,2027,149,2,1,0,0,0,0,0,0,0,1215845
850,Ain Shams,13,,2028,87,3,1,0,0,0,0,0,0,0,1089054
851,Zahraa Al Maadi,6,,2023,92,4,2,0,0,0,0,0,0,0,1409940
852,Hadayek Al Ahram,8,,2025,150,4,1,0,0,0,0,0,0,0,3919117
853,Hadayek Al Obba,16,,2027,164,3,1,0,0,0,0,0,0,0,1259898
854,Ain Shams,14,,2026,169,3,1,0,0,0,0,0,0,0,1292368
855,New Capitol,1,Compound_41,2027,257,6,4,0,0,0,0,0,1,0,4844233
856,Hadayek Al Obba,20,,2022,136,1,1,0,0,0,0,0,0,0,1313821
857,Hadayek Al Obba,17,,2022,184,1,1,0,0,0,0,0,0,0,1459982
858,Sheikh Zayed,2,Compound_13,2029,283,3,4,0,1,1,0,1,1,0,9957270
859,Hadayek Al Obba,16,,2024,191,2,1,0,0,0,0,0,0,0,1259655
860,Hadayek Al Obba,16,,2022,95,2,1,0,0,0,0,0,0,0,1261584
861,Ain Shams,19,,2023,188,2,1,0,0,0,0,0,0,0,1198868
862,5th Settlement,1,Compound_65,2027,222,6,3,0,0,1,0,1,0,0,8679315
863,Zahraa Al Maadi,6,,2026,186,2,2,0,0,0,0,0,0,0,1499077
864,5th Settlement,4,Compound_60,2029,134,6,4,1,0,0,0,0,0,0,10439977
865,New Capitol,3,Compound_66,2025,116,5,2,0,0,0,0,0,0,0,6691080
866,Nasr City,10,,2025,233,4,2,0,0,0,0,0,0,0,1798743
867,Hadayek Al Ahram,10,,2028,194,4,2,0,0,0,0,0,0,0,1848244
868,Hadayek Al Obba,16,,2022,169,1,1,0,0,0,0,0,0,0,1181645
869,Nasr City,9,,2024,251,2,2,0,0,0,0,0,0,0,4226952
870,Zahraa Al Maadi,7,,2024,140,4,2,0,0,0,0,0,0,0,1949667
871,Zahraa Al Maadi,6,,2022,289,4,2,0,0,0,0,0,0,0,3226166
872,Sheikh Zayed,1,Compound_22,2029,191,3,3,0,0,1,0,0,0,1,7636176
873,Hadayek Al Ahram,10,,2029,298,2,2,0,0,0,0,0,0,0,1405025
874,New Capitol,2,Compound_81,2025,142,3,4,1,1,0,1,0,0,0,7725318
875,New Capitol,4,Compound_16,2027,116,4,3,1,0,0,0,0,0,0,4812768
876,5th Settlement,4,Compound_30,2024,163,6,4,0,0,0,1,1,0,0,14950825
877,New Capitol,4,Compound_74,2026,383,6,4,0,0,0,1,0,0,0,10521445
878,Nasr City,6,,2024,212,2,2,0,0,0,0,0,0,0,2110322
879,5th Settlement,2,Compound_29,2027,325,6,3,1,0,0,1,0,0,0,5705994
880,Hadayek Al Obba,16,,2025,200,3,1,0,0,0,0,0,0,0,1236422
881,Hadayek Al Ahram,9,,2028,172,2,2,0,0,0,0,0,0,0,1219146
882,5th Settlement,4,Compound_51,2023,367,4,2,0,1,0,0,0,0,1,5694323
883,New Capitol,2,Compound_60,2026,357,5,4,1,1,0,0,1,0,1,12997011
884,Hadayek Al Ahram,10,,2027,277,4,1,0,0,0,0,0,0,0,3828890
885,Ain Shams,17,,2029,150,2,1,0,0,0,0,0,0,0,1050107
886,Ain Shams,13,,2022,160,2,1,0,0,0,0,0,0,0,1095351
887,Hadayek Al Obba,15,,2022,135,3,1,0,0,0,0,0,0,0,1487776
888,Hadayek Al Obba,12,,2025,126,2,1,0,0,0,0,0,0,0,1139856
889,5th Settlement,5,Compound_32,2023,118,4,4,1,0,1,1,0,0,0,5552883
890,Zahraa Al Maadi,9,,2022,186,4,1,0,0,0,0,0,0,0,3391952
891,Ain Shams,20,,2024,195,2,1,0,0,0,0,0,0,0,1403829
892,Zahraa Al Maadi,10,,2022,197,4,1,0,0,0,0,0,0,0,3114355
893,Nasr City,9,,2025,127,2,2,0,0,0,0,0,0,0,1902448
894,Hadayek Al Obba,17,,2023,88,3,1,0,0,0,0,0,0,0,1241083
895,New Capitol,1,Compound_90,2026,308,5,2,1,1,0,1,1,0,0,7354250
896,Hadayek Al Ahram,7,,2027,172,2,2,0,0,0,0,0,0,0,1474790
897,5th Settlement,3,Compound_70,2022,153,6,4,0,0,1,0,1,0,0,10045781
898,Nasr City,7,,2025,222,3,1,0,0,0,0,0,0,0,2964454
899,Nasr City,8,,2028,211,2,1,0,0,0,0,0,0,0,3401624
900,Nasr City,10,,2028,216,3,1,0,0,0,0,0,0,0,1176596
901,Hadayek Al Ahram,9,,2029,148,3,2,0,0,0,0,0,0,0,2673022
902,Zahraa Al Maadi,10,,2029,247,3,1,0,0,0,0,0,0,0,1813158
903,Sheikh Zayed,1,Compound_38,2022,157,6,2,1,0,1,0,0,0,1,12923605
904,Zahraa Al Maadi,7,,2023,295,4,1,0,0,0,0,0,0,0,4321890
905,New Capitol,3,Compound_56,2029,118,5,4,0,1,0,0,0,0,0,5430512
906,Ain Shams,17,,2028,133,1,1,0,0,0,0,0,0,0,1008219
907,5th Settlement,3,Compound_87,2029,186,4,3,1,0,1,1,0,0,0,4300746
908,Hadayek Al Obba,12,,2022,136,2,1,0,0,0,0,0,0,0,1118788
909,Nasr City,10,,2026,279,4,1,0,0,0,0,0,0,0,1839790
910,New Capitol,2,Compound_39,2025,276,4,2,1,0,1,0,1,0,0,13169367
911,Sheikh Zayed,2,Compound_52,2029,232,6,4,0,1,1,0,1,0,0,11555151
912,New Capitol,3,Compound_34,2027,215,6,4,0,0,0,0,0,0,0,12730331
913,Sheikh Zayed,2,Compound_73,2026,126,3,4,0,0,0,0,0,1,1,5461794
914,5th Settlement,5,Compound_71,2026,282,5,3,1,1,0,0,1,0,0,9429629
915,Ain Shams,15,,2027,181,3,1,0,0,0,0,0,0,0,1306407
916,Ain Shams,13,,2026,123,3,1,0,0,0,0,0,0,0,1235594
917,Hadayek Al Obba,16,,2025,81,3,1,0,0,0,0,0,0,0,1208667
918,Sheikh Zayed,5,Compound_29,2024,169,6,3,0,1,0,0,0,1,0,11482386
919,Nasr City,7,,2023,200,3,1,0,0,0,0,0,0,0,4001797
920,Ain Shams,12,,2028,94,3,1,0,0,0,0,0,0,0,1144256
921,Sheikh Zayed,4,Compound_5,2023,376,3,3,0,0,0,0,0,0,0,10059798
922,Nasr City,9,,2025,110,3,1,0,0,0,0,0,0,0,2020437
923,New Capitol,4,Compound_7,2027,284,4,4,0,0,1,0,0,1,1,9688454
924,Zahraa Al Maadi,6,,2026,175,3,2,0,0,0,0,0,0,0,2782663
925,Hadayek Al Obba,12,,2026,54,1,1,0,0,0,0,0,0,0,1017497
926,Hadayek Al Obba,20,,2028,189,2,1,0,0,0,0,0,0,0,945702
927,Nasr City,8,,2026,254,2,2,0,0,0,0,0,0,0,2034119
928,New Capitol,3,Compound_7,2027,320,4,2,0,0,1,0,0,0,0,11888107
929,Zahraa Al Maadi,6,,2029,187,3,1,0,0,0,0,0,0,0,2659481
930,Zahraa Al Maadi,9,,2022,259,2,2,0,0,0,0,0,0,0,2256948
931,5th Settlement,5,Compound_50,2022,333,6,4,0,0,1,0,1,0,0,5919460
932,Hadayek Al Ahram,9,,2026,113,4,2,0,0,0,0,0,0,0,1897840
933,Zahraa Al Maadi,6,,2024,172,2,2,0,0,0,0,0,0,0,1468659
934,Hadayek Al Ahram,9,,2022,223,3,1,0,0,0,0,0,0,0,3862945
935,Hadayek Al Ahram,7,,2026,127,3,2,0,0,0,0,0,0,0,1453827
936,Hadayek Al Obba,19,,2025,95,1,1,0,0,0,0,0,0,0,1150453
937,Hadayek Al Ahram,6,,2024,116,4,2,0,0,0,0,0,0,0,3829969
938,New Capitol,1,Compound_69,2026,384,5,3,0,0,0,0,0,0,0,7675920
939,Hadayek Al Obba,13,,2025,193,2,1,0,0,0,0,0,0,0,1400046
940,New Capitol,4,Compound_48,2026,379,5,3,0,0,0,0,0,0,0,8060891
941,Hadayek Al Ahram,10,,2027,259,2,2,0,0,0,0,0,0,0,3709723
942,New Capitol,3,Compound_63,2028,234,5,4,1,1,0,0,0,1,1,8096399
943,Zahraa Al Maadi,6,,2023,268,2,1,0,0,0,0,0,0,0,4017674
944,Zahraa Al Maadi,8,,2027,139,3,2,0,0,0,0,0,0,0,3468291
945,Nasr City,8,,2026,210,2,1,0,0,0,0,0,0,0,1875402
946,Zahraa Al Maadi,8,,2028,99,4,1,0,0,0,0,0,0,0,2135256
947,Sheikh Zayed,5,Compound_78,2027,382,5,4,0,0,0,0,1,1,1,8092772
948,New Capitol,3,Compound_80,2027,200,5,4,0,1,0,0,0,1,0,10774336
949,Sheikh Zayed,2,Compound_42,2022,227,4,3,0,0,0,0,0,0,1,12915450
950,5th Settlement,3,Compound_91,2024,248,3,4,0,0,0,0,0,1,1,6503926
951,Hadayek Al Ahram,9,,2023,288,2,2,0,0,0,0,0,0,0,3821538
952,Zahraa Al Maadi,6,,2027,244,2,1,0,0,0,0,0,0,0,2204657
953,Hadayek Al Obba,20,,2022,190,2,1,0,0,0,0,0,0,0,1407406
954,5th Settlement,4,Compound_61,2028,106,5,4,0,0,1,0,0,0,0,4870264
955,Ain Shams,12,,2029,63,1,1,0,0,0,0,0,0,0,867456
956,Ain Shams,12,,2026,156,1,1,0,0,0,0,0,0,0,1208975
957,5th Settlement,1,Compound_32,2024,371,5,2,0,1,0,0,0,0,0,9836126
958,Ain Shams,20,,2024,143,3,1,0,0,0,0,0,0,0,1142750
959,Hadayek Al Ahram,9,,2024,168,3,1,0,0,0,0,0,0,0,4188569
960,Zahraa Al Maadi,7,,2029,122,2,1,0,0,0,0,0,0,0,1965558
961,Hadayek Al Obba,20,,2029,114,3,1,0,0,0,0,0,0,0,893366
962,Nasr City,9,,2023,154,3,1,0,0,0,0,0,0,0,3329310
963,Sheikh Zayed,1,Compound_80,2027,215,5,4,0,0,0,0,1,0,0,7014560
964,5th Settlement,1,Compound_2,2025,129,5,3,0,0,0,1,0,0,0,12940547
965,New Capitol,4,Compound_76,2029,258,3,4,1,0,0,0,0,1,0,7935575
966,Hadayek Al Ahram,8,,2024,101,3,1,0,0,0,0,0,0,0,1608717
967,5th Settlement,5,Compound_30,2028,143,6,4,0,0,0,0,0,0,0,9911439
968,Sheikh Zayed,3,Compound_96,2026,197,6,3,0,1,0,1,0,0,1,6630386
969,Nasr City,10,,2022,130,3,1,0,0,0,0,0,0,0,2690990
970,Zahraa Al Maadi,6,,2026,178,3,1,0,0,0,0,0,0,0,3002556
971,5th Settlement,2,Compound_5,2025,172,6,2,0,0,1,1,0,0,0,11433867
972,Hadayek Al Obba,16,,2023,150,3,1,0,0,0,0,0,0,0,1338976
973,Hadayek Al Ahram,7,,2026,228,3,1,0,0,0,0,0,0,0,1379543
974,Sheikh Zayed,4,Compound_25,2026,148,6,3,0,0,0,0,0,0,1,13385768
